Name,Mass,Value,Description,Effect
Addichrone, 0.10,380,Use to fight symptoms of withdrawal until a cure can be administered.,Suppresses Addiction symptoms for 10m
Alien Genetic Material, 1.00,1375,Can be consumed to greatly increase,+500 Damage Resistance for 30s +500 Energy Resistance for 30s
Alien Jerky, 0.30,50,"A strip of alien meat that's been dehydrated, salted, and flavored with a mild teriyaki sauce.",Restores 3 Health
Alien Kebab, 0.30,105,"Cubes of roasted alien meat, served skewered on a wooden stick, kebab style.",Restores 12 Health +60 Energy Resistance for 8m
Alien Liquor, 0.30,165,"Distilled alcohol, formed by fermenting certain alien plants.",+8 Carry Capacity for 5m -25% 02 Recovery for 5m
Alien Sandwich, 0.30,155,A sandwich made from alien-sourced ingredients.,Restores 4 Health +60 Energy Resistance for 5m
Alien Scramble, 0.50,185,A breakfast dish made from alien eggs and diced vegetables.,Restores 4 Health +60 Damage Resistance for 5m
Alien Tea, 0.30,105,A strong tea made from a steeped alien plant.,Restores 2 Health +1% XP Gain for 15m
Alien Tonic, 0.30,10.5,Carbonated water flavored with an alien extract of unknown origin.,Restores 2 Health +8% 02 Recovery for 3m
AMP, 0.10,100,A steroid-based performance enhancer designed to temporarily boost leg strength.,+35% Movement Speed for 2m 2x Jump Height for 2m
Analgesic Poultice,0.10,450,"Combines the effects of antibiotics, heal paste, and bandages. Used for treating afflictions.","Treats Burns, Contusions, Frostbite, Infections, Lacerations, and Puncture Wounds."
Anchored Immobilizers, 0.10,400,"A reinforced immobilizer, for particularly bad injuries. Used for treating afflictions.","+150 Damage Resistance for 5m Treats Dislocated Limb, Fractured Limb, Fractured Skull, Sprain, and Torn Muscle."
Antibiotic Paste,0.10,430,Combines the effects of antibiotics and heal paste. Used for treating afflictions.,"Treats Burns, Frostbite, and Infections."
Antibiotics, 0.10,75,"Tried and true medicine, used to treat afflictions.",Treats infections
Antibiotic Cocktail, 0.10,415,A mix of multiple antibiotics. Used for treating afflictions.,+20% 02 Recovery for 5m Treats Infections
Baguette, 0.20,55,A classic loaf of French bread.,Restores 2 Health
Bandages, 0.10,40,Wrapping for cuts and wounds. Used for treating afflictions.,"Treats Contusions, Lacerations, and Puncture Wounds."
Battlestim, 0.10,525,A chem designed to improve pain,+250 Damage Resistance for 5m
Beertini, 0.30,265,A mixture of beer and vodka. Definitely an acquired test.,+60 Damage Resistance for 3m +4 Carry Capacity for 5m -15% 02 Recovery for 3m
Bitten Sandwich, 0.20,75,"A salami and cheese sandwich. Clearly delicious, as evidenced by the large bite taken out of it.",Restores 3 Health
Blend, 0.50,380,A carbonated alcoholic beverage blended with caffeine and a potent secret ingredient.,Slows time by 16% for 10s +60 Damage Resistance for 3m -20% 02 Recovery for 3m
Boba Alien Tea, 0.30,105,"Tea made from steeped alien leaves, with synthetic tapioca pearls.",Restores 2 Health +8 02 for 5m +1% XP Gain for 15m
Boom Pop! Black Licorice, 0.30,75,Black licorice-flavored Boom Pop! soda.,Restores 2 Health +8% 02 Recovery for 3m
Boom Pop! Orange, 0.30,75,Orange-flavored Boom Pop! soda.,Restores 2 Health +8% 02 Recovery for 3m
Boom Pop! Rhubarb, 0.30,75,Rhubarb-flavored Boom Pop! soda.,Restores 2 Health +8% 02 Recovery for 3m
Boosted Injector, 0.10,450,An improved injector. Used for treating afflictions.,"+20% 02 Recovery for 5m Treats Brain Injury, Concussion, Heatstroke, Hernia, Hypothermia, Lung Damage, Poisoning, and Radiation Poisoning."
Boudicca, 0.10,560,Grants increased resistance to damage and fortifies oxygen.,+30 02 for 3m +300 Damage Resistance for 3m
Bourbon, 0.30,240,"A strong bourbon whiskey, supposedly brewed using techniques from a place called ""Kentucky"" on Old Earth.",+6 Carry Capacity for 5m -25% 02 Recovery for 5m
Butter, 0.30,55,"Bostaurus Laboratories' finest butter, unsalted.",Restores 2 Health
Carrot, 0.20,35,"The nutritious, delicious carrot. Long considered the favorite food of Earth rabbits.",Restores 1 Health
Can-uck! Bacon, 0.50,105,"CAN-uck! brand bacon, sold in their distinct and trademark can.",Restores 4 Health
Can-uck! Pancakes Plus, 0.50,105,"CAN-uck! brand pancakes, with syrup, sold in their distinct and trademarked can.",Restore 4 Health
Can-uck! Pilsner, 0.50,155,"CAN-uck! brand pilsner beer, sold in their distinct cooler can.",+40 Damage Resistance for 3m -10% 02 Recovery for 3m
Can-uck! Tourtiere, 0.50,105,"CAN-uck! brand tourtiere, sold in their distinct and trademarked can.",Restores 4 Health
Celery, 0.20,35,A stalk of celery. Especially delicious when paired with synthetic peanut butter.,Restores 1 Health
Chandra Cabernet Sauvignon, 0.50,380,"Chandra Vineyards' dark red wine, with notes of blackberry and cedar.",+9% Persuasion chance for 5m -15% 02 Recovery for 5m
Chandra Merlot, 0.50,380,"Chandra Vineyards' sweet red wine, with notes of vanilla and black cherries.",+9% Persuasion chance for 5m -15% 02 Recovery for 5m
Chandra Pinot Noir, 0.50,380,"Changra Vineyards' medium-bodied red wine, with notes of cranberry and licorice.",+9% Persuasion chance for 5m -15% 02 Recovery for 5m
Chandra Port, 0.50,380,"Chandra Vineyards' strong red wine, with notes of caramel and cinnamon. Best enjoyed as a digestif.",+9% Persuasion chance for 5m -15% 02 Recovery for 5m
Chandra Riesling, 0.50,380,"Chandra Vineyards' sweet white wine, with notes of pineapple and lemon. Commonly enjoyed as an aperitif.",+9% Persuasion chance for 5m -15% 02 Recovery for 5m
Chandra Sauvignon Blanc, 0.50,280,"Chandra Vineyards' light white wine, with notes of passion fruit and freshly cut grass.",+9% Persuasion chance for 5m -15% 02 Recovery for 5m
Cheddar Snack Crackers, 0.30,90,Centauri Mills' cheddar cheese-flavored snack crackers.,Restores 4 Health
Cheese, 0.30,55,Bostaurus Laboratories' finest cheese. Extra sharp.,Restores 2 Health
Chunks Apple, 0.20,75,An apple-flavored Chunks food cube.,Restores 4 Health
Chunks Apple - Packaged, 0.20,105,An apple-flavored Chunks food cube. Packaged for freshness.,Restores 4 Health
Chunks Beef, 0.20,75,A beef-flavored Chunks food cube.,Restores 4 Health
Chunks Cake - Packaged, 0.20,105,A cake-flavored Chinks food cube. Packaged for freshness,Restores 4 Health
Chunks Choco, 0.20,75,A chocolate-flavored Chunks food cube.,Restores 4 Health
Chunks Pie - Packaged, 0.20,105,A pumpkin pie-flavored Chunks food cube. Sealed for freshness.,Restores 4 Health
Chunks Wine - Packaged, 0.20,265,A red wine-flavored Chunks food cube. Packaged for freshness.,+6% Persuasion chance for 3m -15% 02 Recovery for 3m
Codos Crater, 0.50,210,"A  filburn Agriculture beer, popular throughout the Freestar Collective.",+80 Damage Resistance for 3m -15% 02 Recovery for 3m
Container of Cereal, 0.30,70,"A plastic container full of delicious, nutritious breakfast cereal.",Restores 4 Health
CQB-X, 0.10,525,A chem used to enhance close quarters combat effectiveness.,+25% Melee Damage for 5m
Dark Lager, 0.50,155,Mass-produced generic beer.,+40 Damage Resistance for 3m -10% 02 Recovery for 3m
Dawn's Roost Strip, 0.50,380,A grilled steak with mixed vegetables and mashed potatoes on the side.,Restores 12 Health +11 02 for 10m
Distilled Water, 0.30,45,Water purified by reverse osmosis.,Restores 2 Health Actions use -16% 02 for 3m
Drink Pack: Beer, 0.30,155,Advanced Nutrition's standard pack of beer.,+40 Damage Resistance for 3m -10% 02 Recovery for 3m.
Drink Pack: Orange Juice, 0.30,75,Advanced Nutrition's standard pack of orange juice.,Restores 2 Health +5 02 for 5m
