Name,Type,Effect,Name,Condition,Name,Effect
Anti-Personnel,Weapon Perk,Damage against humans.,Anti-Personnel,,Anti-Personnel,Damage against humans.
One Inch Punch,Weapon Perk,Gives the bullets shotgun-like spread.,One Inch Punch,,One Inch Punch,Gives the bullets shotgun-like spread.
Bashing,Weapon Perk,Deals double damage when gun bashing.,Bashing,,Bashing,Deals double damage when gun bashing.
Berserker,Weapon Perk,Does more damage the less armor one has,Berserker,,Berserker,Does more damage the less armor one has
Concussive,Weapon Perk,Small chance to knock down targets,Concussive,,Concussive,Small chance to knock down targets
Demoralizing,Weapon Perk,Small chance to demoralize a target.,Demoralizing,,Demoralizing,Small chance to demoralize a target.
Disassembler,Weapon Perk,damage against Robots.,Disassembler,,Disassembler,damage against Robots.
Elemental,Weapon Perk,"Randomly deals Corrosive, Radiation, Poison, and Incendiary damage.",Elemental,,Elemental,"Randomly deals Corrosive, Radiation, Poison, and Incendiary damage."
Explosive,Weapon Perk,Randomly switches to explosive rounds,Explosive,,Explosive,Randomly switches to explosive rounds
Exterminator,Weapon Perk,Damage against Aliens,Exterminator,,Exterminator,Damage against Aliens
Furious,Weapon Perk,Each consecutive hit deals more damage.,Furious,,Furious,Each consecutive hit deals more damage.
Hitman,Weapon Perk,Damage while aiming.,Hitman,,Hitman,Damage while aiming.
Incendiary,Weapon Perk,Randomly deals incendiary damage.,Incendiary,,Incendiary,Randomly deals incendiary damage.
Instigating,Weapon Perk,Deals double damage to targets with full health.,Instigating,,Instigating,Deals double damage to targets with full health.
Lacerate,Weapon Perk,Randomly applies a bleed effect to the target.,Lacerate,,Lacerate,Randomly applies a bleed effect to the target.
Radioactive,Weapon Perk,Randomly deals radioactive damage and demoralizes the target.,Radioactive,,Radioactive,Randomly deals radioactive damage and demoralizes the target.
Rapid,Weapon Perk,increase in attack speed.,Rapid,,Rapid,increase in attack speed.
Rapid,Weapon Perk,Increase in attack speed.,Rapid,,Rapid,Increase in attack speed.
Shattering,Weapon Perk,Break through even the strongest armor.,Shattering,,Shattering,Break through even the strongest armor.
Tesla,Weapon Perk,Round will sometimes emit electricity where they land that damages and slows nearby targets,Tesla,,Tesla,Round will sometimes emit electricity where they land that damages and slows nearby targets
Cornered,Weapon Perk,Damage increases as health decreases.,Cornered,,Cornered,Damage increases as health decreases.
Extended Magazine,Weapon Perk,Doubles the base magazine capacity,Extended Magazine,,Extended Magazine,Doubles the base magazine capacity
