Name,Type,Effect,Materials
Amplifier,Internal,"Amplifies power output, increasing damage",Tantalum x3 Adhesive x3 Isocentered Magnet x1 Zero Wire x1
Amplifier (Cover),Cover,"Amplifies power output, increasing damage.",Adhesive x2 Isocentered Magnet x1 Zero Wire
Annihilator Rounds,Magazine and Battery,"Banned by almost every government, these rounds produce a disease-like effect that spreads to any target that gets too close.",Lead x3 Adhesive x3 Hypercatalyst x2 Toxin x4
Armor-Piercing Rounds,Magazine and Battery,More powerful casingicax penetrate even the sturdiest armors.,Tungsten x2 Lead x1 Adhesive x1
Binary Trigger,Receiver,A binary trigger allows for the weapon to fire on pull and release of the trigger for a faster fire rate.,Microsecond Regulator x1 Lubricant x3 Ytterbium x4 Zero Wire x1
Bull Barrel,Barrel,A heavier barrel for more increased accuracy and stability.,Tungsten x2 Sealant x1 Nickel x2
Burst Fire,Receiver,Receiver that fires 4 rounds per trigger pull.,Lubricant x3 Titanium x4 Ytterbium x2
Choke,Muzzle,Muzzle device specially designed to reduce shotgun spread.,Titanium x2 Sealant x1 Tungsten x3
Compensator,Muzzle,Increases Stability and Hip-Fire accuracy at the cost of long-range Accuracy,Aluminum x1 Nickel x1
Depleted Uranium Rounds,Magazine and Battery,"Built using depleted Uranium, these rounds can penetrate any armor.",Uranium x3 Lead x3 Sealant x2
Drum Magazine,Magazine and Battery,Vastly increases Ammo Capacity at the cost of Aim Down Sights speed and Reload speed.,Lead x3 Adhesive x2 Titanium x2
Double Barrel Muzzle,Muzzle,Changes rounds fired to go through a two-barreled attachment for different spread shots.,Tungsten x3 Polymer x3 Adhesive x2 Titanium x3 Ytterbium x2
EM-Charged Shot,Magazine and Battery,"EM-charged ballistic rounds, typically non-lethal.",Cobalt x3 Polymer x2 Isocentered Magnet x1
Electromagnetic Beams,Magazine and Battery,Electromagnetic rounds that can knockout living creatures as well as disable robotic units for a time.,Beryllium x3 Adhesive x2 Isocentered Magnet ..x1
Ergonomic Grip,Grip and Stock,A comfortable grip that helps increase Accuracy and Aim Down Sights speed.,Aluminum x2 Adhesive x1
Ergonomic Stock,Grip and Stock,A comfortable grip that helps increase Accuracy and Aim Down Sights speed.,Aluminum x2 Sealant x1 Titanium x2
Explosive Rounds,Magazine and Battery,Rounds that explode on contact with a surface,Tetrafluorides x2 Adhesive x2 Lead x2
Extended Barrel,Barrel,"Vastly increases Accuracy, Recoil Control, and Range at the cost of Aim Down Sight speed.",Sealant x1 Iron x2 Nickel x2
Flechette Drum Magazine,Magazine and Battery,Vastly increases Ammo Capacity at the cost of Aim Down Sights speed and Reload speed.,Lead x3 Adhesive x2 Titanium x2
